config,symbols,in_profit,in_profit_pct,beat_b&h,median_return_pct,mean_return_pct,median_pf,median_dd_pct,avg_trades
classic3 / none / long / str>=0,107,74,69.2,26,24.2,70.2,1.57,-42.5,18.0
classic4 / none / long / str>=0,107,69,64.5,27,26.4,81.3,1.88,-42.0,12.0
classic4 / W-rsi / long / str>=0,107,66,61.7,26,13.4,56.3,1.51,-35.6,8.9
classic2 / none / long / str>=0,107,66,61.7,25,12.7,122.6,1.36,-43.2,31.6
classic1.5 / W-rsi / long / str>=0,107,65,60.7,27,6.4,103.2,1.29,-37.6,35.0
adaptive / W-rsi / long / str>=0,107,64,59.8,23,17.5,57.5,1.46,-39.6,20.1
classic1.5 / none / long / str>=0,107,64,59.8,27,7.0,68.2,1.29,-44.9,45.4
adaptive / none / long / str>=0,107,60,56.1,24,10.8,78.8,1.34,-43.9,27.9
classic3 / M-adx+rsi / long / str>=0,99,57,57.6,18,10.6,41.0,1.56,-33.0,10.3
classic2 / W-rsi / long / str>=0,107,57,53.3,24,4.5,199.7,1.25,-39.0,23.3
classic1.5 / W-adx / long / str>=0,107,57,53.3,28,2.2,47.9,1.26,-33.4,25.4
adaptive / W-adx+rsi / long / str>=0,106,56,52.8,23,3.0,36.5,1.3,-34.7,12.4
classic1.5 / W-adx+rsi / long / str>=0,107,56,52.3,28,0.6,80.6,1.23,-33.5,23.7
classic2 / W-adx / long / str>=0,107,55,51.4,26,1.3,97.0,1.18,-35.5,16.8
classic2 / W-adx+rsi / long / str>=0,106,55,51.9,25,0.8,154.5,1.21,-34.1,15.8
adaptive / M-adx+rsi / long / str>=0,100,54,54.0,16,5.4,32.7,1.31,-33.8,16.0
classic1.5 / M-adx+rsi / long / str>=0,100,54,54.0,19,3.6,27.9,1.23,-34.0,27.3
classic3 / W-rsi / long / str>=0,107,54,50.5,23,1.0,41.1,1.28,-37.4,12.9
adaptive / W-adx / long / str>=0,107,53,49.5,23,0.0,39.9,1.23,-36.9,13.3
classic4 / W-adx / long / str>=0,106,53,50.0,24,-0.8,33.2,1.16,-29.1,4.3
classic4 / M-adx+rsi / long / str>=0,95,51,53.7,13,6.1,53.1,1.61,-32.9,6.6
classic3 / M-adx+rsi / long+short / str>=0,105,51,48.6,20,-1.5,25.8,1.15,-41.2,12.1
classic4 / W-adx+rsi / long / str>=0,104,51,49.0,22,-2.0,37.0,1.0,-28.5,4.2
classic4 / W-rsi / long+short / str>=0,107,51,47.7,20,-4.1,17.3,1.16,-50.5,13.7
classic3 / W-adx / long / str>=0,107,50,46.7,26,-2.5,22.4,1.02,-30.5,8.0
classic2 / M-adx+rsi / long / str>=0,99,49,49.5,16,-0.2,23.4,1.18,-35.4,19.2
classic4 / M-adx+rsi / long+short / str>=0,101,49,48.5,19,-1.8,39.4,1.15,-37.6,7.6
classic4 / W-adx+rsi / long+short / str>=0,105,49,46.7,20,-4.8,9.5,0.98,-35.8,5.9
classic4 / W-adx / long+short / str>=0,107,49,45.8,21,-6.8,12.8,0.96,-36.1,6.2
classic3 / W-adx+rsi / long / str>=0,106,48,45.3,24,-3.8,17.9,1.02,-30.4,7.5
adaptive / none / long / str>=4,106,48,45.3,21,-4.4,12.6,0.98,-26.4,7.3
classic3 / none / long+short / str>=0,107,47,43.9,21,-12.1,20.2,1.15,-62.7,29.4
classic4 / none / long+short / str>=0,107,47,43.9,20,-13.9,34.0,1.15,-60.3,20.0
adaptive / W-rsi / long / str>=4,104,46,44.2,21,-4.4,9.8,0.8,-23.6,5.4
classic3 / W-rsi / long+short / str>=0,107,41,38.3,19,-15.6,12.5,1.06,-52.7,19.8
adaptive / M-adx+rsi / long / str>=4,91,40,44.0,13,-2.8,7.3,0.84,-20.8,4.2
adaptive / W-adx / long / str>=4,100,40,40.0,20,-4.6,6.6,0.36,-18.9,3.5
adaptive / M-adx+rsi / long+short / str>=4,99,40,40.4,14,-7.5,2.4,0.61,-23.3,4.9
adaptive / M-adx+rsi / long+short / str>=0,105,40,38.1,19,-9.1,11.3,1.03,-45.8,19.5
classic3 / W-adx / long+short / str>=0,107,40,37.4,21,-12.1,5.0,1.0,-41.4,11.6
classic3 / W-adx+rsi / long+short / str>=0,106,39,36.8,20,-9.0,3.1,0.96,-38.8,10.7
adaptive / none / long+short / str>=4,107,39,36.4,18,-16.4,0.6,0.82,-38.4,12.0
adaptive / W-adx / long+short / str>=0,107,39,36.4,20,-16.7,11.6,1.01,-49.9,20.3
adaptive / W-adx+rsi / long / str>=4,98,38,38.8,18,-4.6,5.1,0.37,-19.3,3.3
classic2 / M-adx+rsi / long+short / str>=0,105,38,36.2,18,-9.1,11.0,1.02,-43.6,22.6
adaptive / W-rsi / long+short / str>=4,107,38,35.5,20,-14.1,-2.3,0.69,-33.8,8.4
classic1.5 / M-adx+rsi / long+short / str>=0,105,38,36.2,17,-14.1,8.2,1.0,-45.6,33.2
adaptive / W-rsi / long+short / str>=0,107,38,35.5,19,-27.2,12.6,1.08,-57.0,31.7
adaptive / W-adx+rsi / long+short / str>=0,107,37,34.6,21,-14.3,8.8,1.03,-49.3,18.4
classic2 / W-rsi / long+short / str>=0,107,36,33.6,19,-22.3,12.3,0.95,-54.0,35.7
adaptive / none / long+short / str>=0,107,36,33.6,16,-27.4,24.8,1.04,-65.3,46.2
adaptive / W-adx / long+short / str>=4,104,35,33.7,19,-14.2,0.5,0.5,-28.0,5.0
classic2 / W-adx / long+short / str>=0,107,35,32.7,22,-23.4,5.7,0.89,-46.7,24.5
classic2 / none / long+short / str>=0,107,34,31.8,15,-28.4,13.4,1.03,-61.0,50.9
adaptive / W-adx+rsi / long+short / str>=4,103,33,32.0,17,-11.4,-2.2,0.46,-26.3,4.5
classic2 / W-adx+rsi / long+short / str>=0,106,33,31.1,18,-19.6,1.6,0.92,-46.1,22.7
classic1.5 / W-rsi / long+short / str>=0,107,32,29.9,16,-31.5,8.0,0.98,-56.8,55.3
classic1.5 / W-adx / long+short / str>=0,107,30,28.0,20,-30.4,4.3,0.94,-49.8,38.5
classic1.5 / none / long+short / str>=0,107,26,24.3,16,-32.7,7.4,1.0,-62.5,74.0
classic1.5 / W-adx+rsi / long+short / str>=0,107,25,23.4,18,-25.2,1.8,0.93,-50.0,35.5
classic1.5 / W-rsi / long+short / str>=4,1,1,100.0,0,4.8,4.8,,-20.4,1.0
classic1.5 / none / long+short / str>=4,1,1,100.0,0,4.8,4.8,,-20.4,1.0
classic2 / W-rsi / long+short / str>=4,1,1,100.0,0,4.8,4.8,,-20.4,1.0
classic2 / none / long+short / str>=4,1,1,100.0,0,4.8,4.8,,-20.4,1.0
