ticker,configs,profitable_in,robustness_pct,median_return_pct,best_return_pct,best_config,buy_hold_pct,beat_b&h_in
RKLB,60,60,100.0,203.9,1234.1,classic3 / W-rsi / long+short / str>=0,560.8,7
HOOD,60,59,98.3,148.5,426.1,classic3 / none / long / str>=0,199.4,23
GE,60,58,96.7,73.2,307.8,classic4 / W-rsi / long+short / str>=0,323.2,0
MRNA,59,57,96.6,180.6,2795.2,classic2 / none / long / str>=0,641.9,22
HIMS,60,57,95.0,73.6,462.1,classic1.5 / W-adx / long+short / str>=0,194.3,13
AMD,60,56,93.3,164.0,1185.2,classic2 / W-rsi / long+short / str>=0,4140.3,0
TSLA,60,56,93.3,161.7,624.3,classic3 / W-rsi / long / str>=0,1532.1,0
MSFT,60,56,93.3,45.5,137.8,classic4 / none / long / str>=0,553.7,0
DELL,60,55,91.7,139.0,985.7,classic4 / none / long / str>=0,2071.1,0
QQQ,60,55,91.7,21.4,92.3,adaptive / none / long+short / str>=0,377.4,0
PLTR,60,54,90.0,148.2,547.4,classic4 / none / long / str>=0,1860.9,0
MU,60,51,85.0,49.4,475.0,adaptive / W-rsi / long / str>=0,2090.6,0
ASML.AS,60,50,83.3,42.4,217.0,adaptive / none / long / str>=0,1006.8,0
MBB.DE,60,49,81.7,55.0,199.7,classic1.5 / M-adx+rsi / long+short / str>=0,131.0,7
SMCI,60,47,78.3,157.3,827.8,classic4 / none / long / str>=0,1628.7,0
NVDA,60,47,78.3,84.3,350.7,classic4 / none / long+short / str>=0,4319.5,0
SPY,60,47,78.3,8.2,44.0,adaptive / none / long / str>=0,226.1,0
VERX,60,46,76.7,18.9,81.2,classic2 / none / long+short / str>=0,-40.6,60
RHM.DE,60,45,75.0,107.6,1093.2,classic4 / none / long+short / str>=0,1191.4,0
SZG.DE,60,45,75.0,55.8,424.8,classic1.5 / none / long+short / str>=0,35.8,36
NOV.DE,60,45,75.0,31.8,221.0,classic2 / none / long+short / str>=0,773.8,0
RDNT,60,44,73.3,28.4,386.5,classic4 / none / long / str>=0,642.4,0
IBKR,60,43,71.7,18.8,250.3,classic3 / none / long / str>=0,578.3,0
BWXT,60,42,70.0,12.4,73.7,classic1.5 / none / long / str>=0,179.9,0
VRSN,60,42,70.0,5.2,64.5,classic1.5 / none / long / str>=0,171.5,0
GOOG,60,41,68.3,52.2,228.7,classic3 / none / long / str>=0,549.6,0
STO3.DE,55,36,65.5,12.8,89.3,classic4 / W-rsi / long+short / str>=0,5.5,33
WIX,60,39,65.0,23.4,291.3,classic4 / W-rsi / long+short / str>=0,51.1,24
ESLT,60,39,65.0,20.8,145.8,adaptive / W-rsi / long / str>=0,468.5,0
JBL,60,38,63.3,10.3,238.0,adaptive / none / long / str>=0,1089.1,0
ADN1.DE,60,35,58.3,12.2,95.9,classic2 / W-adx+rsi / long / str>=0,17.4,24
IESC,60,34,56.7,16.3,538.3,adaptive / none / long / str>=0,1717.0,0
ST5.DE,58,32,55.2,8.8,352.8,classic4 / W-adx / long+short / str>=0,-5.2,33
AVGO,60,33,55.0,11.0,263.2,classic4 / none / long / str>=0,1651.7,0
META,60,33,55.0,7.4,110.9,classic3 / W-adx+rsi / long+short / str>=0,221.4,0
EXTR,60,33,55.0,7.2,134.7,adaptive / W-rsi / long / str>=4,77.8,7
CEG,60,32,53.3,2.6,99.1,classic4 / none / long / str>=0,584.5,0
QUBT,64,34,53.1,4.8,15895.5,classic2 / W-rsi / long / str>=0,918.7,8
UBER,56,29,51.8,0.8,74.2,classic4 / none / long / str>=0,89.6,0
HAG.DE,60,31,51.7,4.0,173.3,classic4 / none / long / str>=0,754.7,0
GFT.DE,60,31,51.7,1.8,132.0,adaptive / W-adx+rsi / long / str>=0,134.8,0
CSCO,60,29,48.3,-0.3,98.4,classic4 / none / long / str>=0,264.5,0
EXLS,60,29,48.3,-2.0,61.9,classic2 / none / long / str>=0,218.6,0
RTX,60,29,48.3,-2.0,63.5,classic3 / W-rsi / long+short / str>=0,220.1,0
NEM.DE,60,28,46.7,-2.8,85.4,classic3 / none / long / str>=0,204.0,0
ANGO,60,28,46.7,-3.3,183.8,classic2 / W-rsi / long+short / str>=0,-5.4,31
ORCL,60,27,45.0,-2.3,74.0,adaptive / W-rsi / long / str>=0,268.2,0
FTNT,60,27,45.0,-5.8,423.6,classic3 / none / long / str>=0,1771.5,0
RZLV,60,26,43.3,-0.9,87.2,classic3 / M-adx+rsi / long+short / str>=0,-69.5,51
AMGN,60,26,43.3,-5.0,57.5,adaptive / W-rsi / long / str>=0,218.1,0
CRSP,60,24,40.0,-3.5,140.5,classic1.5 / W-rsi / long / str>=0,129.3,1
