ticker,engine,htf,side,min_strength,config,trades,longs,shorts,win_rate_pct,profit_factor,return_pct,buy_hold_pct,max_dd_pct
22UA.DE,adaptive,none,long,0,adaptive / none / long / str>=0,8,8,0,12.5,0.27,-32.3,26.5,-44.8
22UA.DE,adaptive,none,long+short,0,adaptive / none / long+short / str>=0,34,8,26,32.4,0.41,-70.6,26.5,-77.2
22UA.DE,adaptive,none,long+short,4,adaptive / none / long+short / str>=4,6,0,6,16.7,0.07,-38.1,26.5,-45.3
22UA.DE,adaptive,W-adx+rsi,long,0,adaptive / W-adx+rsi / long / str>=0,4,4,0,0.0,0.0,-19.9,26.5,-21.8
22UA.DE,adaptive,W-adx+rsi,long+short,0,adaptive / W-adx+rsi / long+short / str>=0,9,4,5,22.2,0.04,-38.4,26.5,-44.4
22UA.DE,adaptive,W-adx+rsi,long+short,4,adaptive / W-adx+rsi / long+short / str>=4,1,0,1,0.0,0.0,-19.0,26.5,-19.0
22UA.DE,adaptive,W-adx,long,0,adaptive / W-adx / long / str>=0,4,4,0,0.0,0.0,-19.9,26.5,-21.8
22UA.DE,adaptive,W-adx,long+short,0,adaptive / W-adx / long+short / str>=0,9,4,5,22.2,0.04,-38.4,26.5,-44.4
22UA.DE,adaptive,W-adx,long+short,4,adaptive / W-adx / long+short / str>=4,1,0,1,0.0,0.0,-19.0,26.5,-19.0
22UA.DE,adaptive,W-rsi,long,0,adaptive / W-rsi / long / str>=0,5,5,0,0.0,0.0,-27.3,26.5,-29.1
22UA.DE,adaptive,W-rsi,long+short,0,adaptive / W-rsi / long+short / str>=0,23,5,18,21.7,0.23,-66.1,26.5,-69.4
22UA.DE,adaptive,W-rsi,long+short,4,adaptive / W-rsi / long+short / str>=4,4,0,4,0.0,0.0,-34.7,26.5,-39.6
22UA.DE,classic1.5,none,long,0,classic1.5 / none / long / str>=0,14,14,0,7.1,0.39,-38.6,26.5,-51.0
22UA.DE,classic1.5,none,long+short,0,classic1.5 / none / long+short / str>=0,47,14,33,36.2,0.54,-65.4,26.5,-72.4
22UA.DE,classic1.5,W-adx+rsi,long,0,classic1.5 / W-adx+rsi / long / str>=0,9,9,0,0.0,0.0,-43.9,26.5,-43.9
22UA.DE,classic1.5,W-adx+rsi,long+short,0,classic1.5 / W-adx+rsi / long+short / str>=0,16,9,7,18.8,0.05,-53.9,26.5,-53.9
22UA.DE,classic1.5,W-adx,long,0,classic1.5 / W-adx / long / str>=0,9,9,0,0.0,0.0,-43.9,26.5,-43.9
22UA.DE,classic1.5,W-adx,long+short,0,classic1.5 / W-adx / long+short / str>=0,16,9,7,18.8,0.05,-53.9,26.5,-53.9
22UA.DE,classic1.5,W-rsi,long,0,classic1.5 / W-rsi / long / str>=0,10,10,0,0.0,0.0,-46.7,26.5,-46.7
22UA.DE,classic1.5,W-rsi,long+short,0,classic1.5 / W-rsi / long+short / str>=0,33,10,23,30.3,0.18,-73.8,26.5,-73.8
22UA.DE,classic2,none,long,0,classic2 / none / long / str>=0,5,5,0,40.0,0.37,-20.0,26.5,-28.6
22UA.DE,classic2,none,long+short,0,classic2 / none / long+short / str>=0,29,5,24,37.9,0.39,-59.1,26.5,-63.0
22UA.DE,classic2,W-adx+rsi,long,0,classic2 / W-adx+rsi / long / str>=0,3,3,0,33.3,0.15,-21.5,26.5,-26.7
22UA.DE,classic2,W-adx+rsi,long+short,0,classic2 / W-adx+rsi / long+short / str>=0,8,3,5,12.5,0.06,-44.7,26.5,-48.4
22UA.DE,classic2,W-adx,long,0,classic2 / W-adx / long / str>=0,3,3,0,33.3,0.15,-21.5,26.5,-26.7
22UA.DE,classic2,W-adx,long+short,0,classic2 / W-adx / long+short / str>=0,8,3,5,12.5,0.06,-44.7,26.5,-48.4
22UA.DE,classic2,W-rsi,long,0,classic2 / W-rsi / long / str>=0,3,3,0,33.3,0.15,-21.5,26.5,-26.7
22UA.DE,classic2,W-rsi,long+short,0,classic2 / W-rsi / long+short / str>=0,18,3,15,27.8,0.17,-55.8,26.5,-58.5
22UA.DE,classic3,none,long,0,classic3 / none / long / str>=0,3,3,0,33.3,0.01,-26.0,26.5,-28.0
22UA.DE,classic3,none,long+short,0,classic3 / none / long+short / str>=0,19,3,16,31.6,0.34,-65.3,26.5,-65.5
22UA.DE,classic3,W-adx+rsi,long,0,classic3 / W-adx+rsi / long / str>=0,2,2,0,0.0,0.0,-26.5,26.5,-28.1
22UA.DE,classic3,W-adx+rsi,long+short,0,classic3 / W-adx+rsi / long+short / str>=0,3,2,1,0.0,0.0,-30.5,26.5,-32.0
22UA.DE,classic3,W-adx,long,0,classic3 / W-adx / long / str>=0,2,2,0,0.0,0.0,-26.5,26.5,-28.1
22UA.DE,classic3,W-adx,long+short,0,classic3 / W-adx / long+short / str>=0,3,2,1,0.0,0.0,-30.5,26.5,-32.0
22UA.DE,classic3,W-rsi,long,0,classic3 / W-rsi / long / str>=0,2,2,0,0.0,0.0,-26.5,26.5,-28.1
