ticker,direction,entry_date,entry_price,exit_date,exit_price,return_pct,exit_reason,signal_strength
AMD,long,2018-05-09,11.95,2018-10-19,23.66,97.99,ST flip,0
AMD,long,2019-01-31,24.41,2019-08-05,27.99,14.67,ST flip,0
AMD,long,2019-10-28,33.69,2020-02-25,47.57,41.2,ST flip,0
AMD,long,2020-07-22,61.79,2021-03-03,80.86,30.86,ST flip,0
AMD,long,2021-06-29,89.52,2022-01-20,121.89,36.16,ST flip,0
AMD,long,2023-11-10,118.59,2024-04-04,165.83,39.83,ST flip,0
AMD,long,2024-07-08,178.69,2024-07-24,144.63,-19.06,ST flip,0
AMD,long,2024-10-04,170.9,2024-10-31,144.07,-15.7,ST flip,0
AMD,long,2026-01-21,249.8,2026-02-04,200.19,-19.86,ST flip,0
AMD,long,2026-04-10,245.04,OPEN,,,,0
ASML.AS,long,2018-01-17,148.3278,2018-02-08,136.1396,-8.22,ST flip,0
ASML.AS,long,2018-03-12,158.1243,2018-04-04,144.4183,-8.67,ST flip,0
ASML.AS,long,2018-06-05,165.4528,2018-06-28,153.8535,-7.01,ST flip,0
ASML.AS,long,2018-07-20,174.8715,2018-09-05,155.264,-11.21,ST flip,0
ASML.AS,long,2019-07-01,177.7294,2019-08-14,175.796,-1.09,ST flip,0
ASML.AS,long,2019-09-06,203.9534,2020-02-27,241.1919,18.26,ST flip,0
ASML.AS,long,2020-05-19,269.2184,2020-07-29,292.573,8.67,ST flip,0
ASML.AS,long,2020-11-09,337.3587,2021-03-04,414.3035,22.81,ST flip,0
ASML.AS,long,2021-03-26,491.6288,2021-09-28,634.4955,29.06,ST flip,0
ASML.AS,long,2021-11-05,704.8981,2021-11-26,655.648,-6.99,ST flip,0
ASML.AS,long,2023-01-11,573.7856,2023-08-14,590.2208,2.86,ST flip,0
ASML.AS,long,2023-11-13,598.8762,2024-04-22,796.5226,33.0,ST flip,0
ASML.AS,long,2024-06-05,926.1924,2024-07-17,854.8337,-7.7,ST flip,0
ASML.AS,long,2025-09-11,681.5439,2026-07-28,1388.4,103.71,ST flip,0
BWXT,long,2019-06-20,47.5125,2019-08-05,44.7209,-5.88,ST flip,0
BWXT,long,2019-08-06,51.2867,2020-02-25,56.1236,9.43,ST flip,0
BWXT,long,2020-05-27,57.4833,2020-07-09,47.8252,-16.8,ST flip,0
BWXT,long,2020-08-04,54.7478,2021-01-27,51.4105,-6.1,ST flip,0
BWXT,long,2021-03-11,58.1798,2021-05-18,58.9075,1.25,ST flip,0
BWXT,long,2022-07-01,54.0994,2023-05-30,59.4079,9.81,ST flip,0
BWXT,long,2023-06-12,64.8856,2024-04-16,91.8646,41.58,ST flip,0
BWXT,long,2024-07-11,95.67,2024-08-02,92.8564,-2.94,ST flip,0
BWXT,long,2024-09-23,104.1585,2024-12-23,110.5422,6.13,ST flip,0
BWXT,long,2025-01-21,125.1652,2025-01-27,110.1272,-12.01,ST flip,0
BWXT,long,2025-05-01,110.0762,2025-11-20,174.5293,58.55,ST flip,0
BWXT,long,2026-01-09,200.5971,2026-06-01,188.0935,-6.23,ST flip,0
DELL,long,2018-01-05,21.7719,2018-01-29,19.0695,-12.41,ST flip,0
DELL,long,2018-05-21,20.515,2018-10-11,23.3882,14.01,ST flip,0
DELL,long,2018-11-13,25.8942,2018-12-24,20.5227,-20.74,ST flip,0
DELL,long,2019-02-11,23.9511,2019-05-31,27.4181,14.48,ST flip,0
DELL,long,2020-11-23,31.944,2021-07-13,43.1691,35.14,ST flip,0
DELL,long,2021-09-24,47.8286,2022-02-25,46.7469,-2.26,ST flip,0
DELL,long,2023-04-13,40.0194,2023-12-06,64.8172,61.96,ST flip,0
DELL,long,2024-01-08,76.0593,2024-07-17,120.9686,59.05,ST flip,0
DELL,long,2024-09-26,122.6683,2024-12-10,113.6639,-7.34,ST flip,0
DELL,long,2026-02-27,147.3797,OPEN,,,,0
GE,long,2019-10-30,48.8325,2020-02-25,54.7265,12.07,ST flip,0
GE,long,2021-11-09,67.7492,2021-11-26,59.5613,-12.09,ST flip,0
GE,long,2023-01-04,55.0276,2024-10-22,174.9002,217.84,ST flip,0
