ticker,score
MRNA,19.05
DELL,15.09
AMD,13.37
HPE,12.59
CSCO,10.48
FTNT,10.37
2GB.DE,8.41
MU,8.38
RKLB,5.28
SPY,5.12
ANGO,4.82
QQQ,4.73
SIX2.DE,4.44
IOS.DE,4.28
IBKR,4.25
RTX,4.13
JBL,4.02
NTNX,3.93
AVGO,3.93
GFT.DE,3.89
GE,3.78
NVDA,3.72
EXTR,3.63
AMGN,3.41
DE,2.89
RBC,2.73
LUV,2.64
B,2.52
ABBV,2.5
MTX.DE,2.44
VRSN,2.42
ASML.AS,2.4
IBM,2.27
APH,2.1
TSLA,1.99
AIR.DE,1.79
KO,1.73
CRSP,1.54
DLTR,1.53
EXLS,1.47
TOST,1.47
DBX,1.4
WIX,1.4
QCOM,1.38
PTGX,1.36
HAG.DE,1.28
BIDU,1.28
MBB.DE,1.25
WH,1.21
RDNT,1.19
U,1.05
HLT,0.92
PUM.DE,0.9
ORCL,0.87
MLB1.DE,0.51
ASAN,0.5
NOV.DE,0.46
MSFT,0.37
SMCI,0.28
ARQT,0.17
LYFT,0.08
HBH.DE,0.05
BABA,0.02
ACHR,0.0
VERX,0.0
XPEV,0.0
MCD,0.0
KGX.DE,0.0
NEGG,0.0
NEM.DE,0.0
PEGA,0.0
ODD,0.0
ADN1.DE,0.0
EVTL,0.0
STO3.DE,0.0
RHM.DE,0.0
RBLX,0.0
V,-0.03
DUK,-0.05
DUE.DE,-0.07
HOOD,-0.19
AMZN,-0.22
SZG.DE,-0.24
BC8.DE,-0.25
CRNC,-0.27
22UA.DE,-0.32
ST5.DE,-0.37
GOOG,-0.38
LRN,-0.46
NOC,-0.47
ESLT,-0.61
TIMA.DE,-0.67
BWXT,-0.73
PLTR,-0.74
GMED,-0.8
CRM,-0.81
8RMY.DE,-0.93
UBER,-0.97
LHX,-1.0
QUBT,-1.0
CEG,-1.05
META,-1.2
HIMS,-1.94
LMT,-2.03
KTN.DE,-3.56
CERT,-4.5
