ticker,score
LITE,126.4
WDC,63.78
STX,56.25
AMAT,53.66
FRE.DE,47.42
RKLB,46.2
MU,41.64
WMT,41.56
LRCX,39.11
APP,38.36
AVGO,37.68
DB1.DE,37.31
TER,37.3
ROST,35.62
ALV.DE,33.43
G1A.DE,31.52
HEI.DE,31.4
ENR.DE,31.39
GOOGL,30.91
COST,30.29
MUV2.DE,28.6
DHL.DE,27.88
DBK.DE,27.7
GILD,26.3
AMD,26.18
NFLX,26.17
SAP.DE,25.87
KLAC,25.78
NVDA,25.7
EOAN.DE,25.24
DDOG,24.95
SIE.DE,24.9
HON,24.84
PANW,24.8
AAPL,24.71
WBD,23.3
CCEP,23.0
META,22.52
RHM.DE,22.43
CSCO,22.26
TXN,21.65
TSLA,21.59
MSTR,21.51
MRVL,21.18
AMGN,20.78
PLTR,20.63
CSX,20.32
AEP,20.28
HNR1.DE,19.98
ASML,19.95
CEG,19.77
BKR,19.76
PAYX,18.8
ADI,18.75
INTC,18.72
DASH,18.53
CTAS,18.5
G24.DE,18.32
CDNS,18.3
DTG.DE,18.24
MTX.DE,18.05
MAR,18.04
QCOM,17.72
DTE.DE,17.71
FTNT,17.69
BKNG,17.55
RWE.DE,17.52
CBK.DE,17.12
ADS.DE,16.63
CRWD,16.56
AIR.DE,16.22
TMUS,15.8
INTU,15.64
NXPI,15.42
IFX.DE,15.37
HEN3.DE,15.1
AXON,14.83
BAYN.DE,13.65
FANG,12.49
BNR.DE,12.33
SHOP,12.24
ALNY,12.03
ORLY,11.7
AMZN,11.65
ADSK,11.62
REGN,11.57
ADP,11.38
SNPS,11.3
VRTX,11.11
LIN,10.92
PCAR,10.72
MPWR,10.42
CON.DE,10.14
FME.DE,9.95
FAST,9.83
SY1.DE,9.64
ISRG,9.61
VNA.DE,9.36
ARM,9.06
TRI,8.95
KHC,8.27
MCHP,7.89
MSFT,7.72
ROP,7.69
ABNB,7.22
KDP,7.09
SHL.DE,7.06
MRK.DE,6.61
EXC,6.49
BMW.DE,6.41
ODFL,6.14
NBIS,6.03
ADBE,5.76
PYPL,5.7
MELI,5.5
IDXX,5.37
CMCSA,5.34
TTWO,5.3
PDD,4.72
WDAY,4.56
BAS.DE,4.04
PAH3.DE,3.92
CPRT,3.9
VOW3.DE,3.82
GEHC,3.75
XEL,3.7
MBG.DE,3.09
ZAL.DE,2.98
SBUX,2.71
DXCM,2.46
BEI.DE,2.4
PEP,2.38
MDLZ,-5.7
QIA.DE,-5.7
