ticker,bench,last_bar,stale,close,rs_diff,rs_rank,days_in_trend,vs_ma_pct,stop,stop_dist_pct,strength,trend
MRNA,SPY,2026-08-28,,137.99,179.0,100.0,12,166.6,120.15,12.9,1,up
WIX,SPY,2026-08-28,,87.62,56.8,99.0,34,14.8,74.45,15.0,4,up
PTGX,SPY,2026-08-28,,144.33,49.0,98.0,0,38.1,152.45,-5.6,3,down
CERT,SPY,2026-08-28,,8.35,46.8,97.0,51,15.6,7.34,12.1,1,up
U,SPY,2026-08-28,,43.31,46.0,96.0,41,35.4,43.02,0.7,3,up
RDNT,SPY,2026-08-28,,74.61,41.6,95.0,20,12.9,72.88,2.3,1,up
ANGO,SPY,2026-08-28,,15.85,39.3,95.0,56,30.5,14.19,10.5,1,up
TOST,SPY,2026-08-28,,35.15,37.9,94.0,43,16.5,32.41,7.8,0,up
ODD,SPY,2026-08-28,,14.35,37.7,93.0,3,-35.5,12.48,13.0,1,up
CRM,SPY,2026-08-28,,256.0,32.4,92.0,22,28.3,223.26,12.8,8,up
PLTR,SPY,2026-08-28,,186.29,28.7,91.0,18,23.1,165.32,11.3,4,up
EXLS,SPY,2026-08-28,,38.4,28.1,90.0,34,14.5,36.48,5.0,6,up
NTNX,SPY,2026-08-28,,69.16,28.1,90.0,43,41.7,61.44,11.2,3,up
DBX,SPY,2026-08-28,,35.7,27.1,88.0,43,29.6,31.96,10.5,4,up
AMGN,SPY,2026-08-28,,432.42,26.3,87.0,59,23.0,407.43,5.8,0,up
ASAN,SPY,2026-08-28,,10.19,25.6,86.0,41,14.7,8.13,20.2,4,up
HOOD,SPY,2026-08-28,,104.26,23.6,85.0,11,9.3,87.28,16.3,0,up
LYFT,SPY,2026-08-28,,17.7,23.4,85.0,23,9.8,15.44,12.8,2,up
RTX,SPY,2026-08-28,,211.71,20.8,84.0,4,10.8,217.04,-2.5,0,down
V,SPY,2026-08-28,,381.6,20.1,83.0,56,15.0,359.32,5.8,3,up
MSFT,SPY,2026-08-28,,513.53,18.1,82.0,41,19.6,479.42,6.6,7,up
22UA.DE,^GDAXI,2026-08-27,!,95.7,16.8,81.0,6,13.7,85.9,10.2,1,up
ABBV,SPY,2026-08-28,,255.48,16.2,80.0,8,13.6,239.32,6.3,0,up
FIGR,SPY,2026-08-28,,36.05,14.1,79.0,12,-2.5,35.55,1.4,1,up
MTX.DE,^GDAXI,2026-08-27,!,358.6,13.6,78.0,22,4.4,351.16,2.1,0,up
RZLV,SPY,2026-08-28,,2.97,13.5,77.0,18,9.7,2.38,20.0,5,up
KO,SPY,2026-08-28,,89.66,12.3,76.0,56,15.8,87.99,1.9,0,up
DLTR,SPY,2026-08-28,,128.26,11.7,75.0,24,10.1,119.82,6.6,0,up
FTNT,SPY,2026-08-28,,166.0,11.1,74.0,2,53.5,147.51,11.1,2,up
BC8.DE,^GDAXI,2026-08-27,!,37.66,11.1,74.0,1,9.6,33.99,9.7,7,up
IOS.DE,^GDAXI,2026-08-27,!,35.12,10.7,73.0,12,28.5,30.75,12.5,5,up
MLB1.DE,^GDAXI,2026-08-27,!,1663.0,10.5,72.0,4,3.9,1497.69,9.9,0,up
GFT.DE,^GDAXI,2026-08-27,!,25.95,9.2,71.0,22,34.1,21.36,17.7,7,up
AIR.DE,^GDAXI,2026-08-27,!,203.3,9.1,70.0,5,7.9,208.33,-2.5,0,down
ARQT,SPY,2026-08-28,,23.78,9.1,70.0,19,-7.2,26.37,-10.9,5,down
VERX,SPY,2026-08-28,,14.23,9.0,68.0,19,-3.7,12.54,11.8,4,up
CRSP,SPY,2026-08-28,,57.72,8.6,67.0,18,8.6,50.87,11.9,0,up
NOV.DE,^GDAXI,2026-08-27,!,39.39,8.5,66.0,9,22.7,37.38,5.1,0,up
LMT,SPY,2026-08-28,,563.85,7.9,65.0,6,2.3,576.88,-2.3,0,down
IBKR,SPY,2026-08-28,,95.84,7.7,64.0,41,22.6,85.28,11.0,1,up
UBER,SPY,2026-08-28,,78.82,7.7,64.0,14,2.7,74.27,5.8,0,up
HAG.DE,^GDAXI,2026-08-27,!,89.22,7.5,63.0,23,13.1,85.43,4.2,0,up
B,SPY,2026-08-28,,45.65,6.8,62.0,7,8.5,42.58,6.7,0,up
GE,SPY,2026-08-28,,342.58,6.7,61.0,6,7.0,362.1,-5.7,2,down
