ticker,session,close,ema_fast,ema_slow,armed,was_armed,trigger,to_trigger_pct,to_disarm_pct,state,stop,risk_pct,st_line,note,stale,shares,cost
DE,2026-09-01,676.08,612.5,568.28,True,True,677.89,0.27,9.4,ARMED,662.59,2.26,662.59,,False,3.0,2034.0
MRNA,2026-09-01,154.27,88.46,59.43,True,True,154.7,0.28,42.66,ARMED,141.62,8.46,141.62,,False,4.0,619.0
MU,2026-09-01,952.59,914.69,659.1,True,True,955.5,0.31,3.98,ARMED,913.9,4.35,913.9,,False,1.0,956.0
HBH.DE,2026-09-01,83.5,80.93,80.81,True,True,83.8,0.36,3.08,ARMED,83.31,0.59,83.31,,False,33.0,2765.0
DLTR,2026-09-01,131.71,125.24,114.89,True,True,132.19,0.36,4.91,ARMED,127.04,3.89,127.04,,False,10.0,1322.0
SPY,2026-09-01,761.78,755.99,712.1,True,True,764.67,0.38,0.76,ARMED,,,767.05,1h bearish,False,,
NVDA,2026-09-01,217.72,212.04,196.67,True,True,218.58,0.4,2.61,ARMED,,,223.44,1h bearish,False,,
AMGN,2026-09-01,433.49,397.24,353.95,True,True,435.5,0.46,8.36,ARMED,433.14,0.54,433.14,,False,6.0,2613.0
CRSP,2026-09-01,56.82,54.18,53.31,True,True,57.13,0.55,4.65,ARMED,,,58.76,1h bearish,False,,
MLB1.DE,2026-09-01,1683.6,1600.67,1623.88,True,True,1693.2,0.57,3.55,ARMED,1668.7,1.45,1668.7,,False,1.0,1693.0
MSFT,2026-09-01,502.48,454.69,434.87,True,True,505.97,0.69,9.51,ARMED,,,508.07,1h bearish,False,,
PLTR,2026-09-01,185.22,156.29,147.29,True,True,186.55,0.72,15.62,ARMED,183.27,1.76,183.27,,False,15.0,2798.0
ABBV,2026-09-01,259.99,249.43,227.43,True,True,262.27,0.88,4.06,ARMED,255.02,2.77,255.02,,False,7.0,1836.0
22UA.DE,2026-09-01,87.0,84.77,84.59,True,True,88.0,1.15,2.57,ARMED,87.57,0.49,87.57,,False,32.0,2816.0
SMCI,2026-09-01,36.71,33.42,33.67,True,True,37.15,1.2,8.28,ARMED,,,38.17,1h bearish,False,,
NOV.DE,2026-09-01,39.33,38.17,34.81,True,True,39.81,1.22,2.96,ARMED,39.61,0.49,39.61,,False,70.0,2787.0
RDNT,2026-09-01,75.52,68.98,65.19,True,True,76.63,1.47,8.66,ARMED,73.82,3.67,73.82,,False,19.0,1456.0
LYFT,2026-09-01,16.77,16.21,15.75,True,True,17.03,1.58,3.34,ARMED,,,17.27,1h bearish,False,,
CRM,2026-09-01,258.11,196.34,200.78,True,True,262.32,1.63,22.21,ARMED,250.92,4.34,250.92,,False,4.0,1049.0
TOST,2026-09-01,33.59,32.37,31.17,True,True,34.24,1.94,3.63,ARMED,,,34.44,1h bearish,False,,
KO,2026-09-01,88.0,86.04,78.83,True,True,89.78,2.02,2.23,ARMED,89.15,0.71,89.15,,False,31.0,2783.0
V,2026-09-01,372.67,359.92,338.81,True,True,380.75,2.17,3.42,ARMED,378.16,0.68,378.16,,False,7.0,2665.0
NTNX,2026-09-01,66.69,60.19,54.24,True,True,68.18,2.23,9.75,ARMED,,,68.42,1h bearish,False,,
CERT,2026-09-01,8.1,7.54,7.65,True,True,8.28,2.28,5.6,ARMED,8.02,3.19,8.02,,False,214.0,1772.0
SIX2.DE,2026-09-01,72.0,70.97,69.66,True,True,73.75,2.43,1.44,ARMED,72.61,1.54,72.61,,False,38.0,2802.0
