ticker,session,close,ema_fast,ema_slow,armed,was_armed,trigger,to_trigger_pct,to_disarm_pct,state,stop,risk_pct,st_line,note,stale,shares,cost,rank,held
MLB1.DE,2026-09-02,1723.6,1605.49,1624.88,True,True,1725.8,0.13,5.73,ARMED,1684.96,2.37,1684.96,,False,1.0,1726.0,55.0,False
VRSN,2026-09-02,289.96,281.43,266.83,True,True,290.44,0.17,2.94,ARMED,286.04,1.52,286.04,,False,9.0,2614.0,31.0,False
SPY,2026-09-02,765.16,756.35,712.63,True,True,766.43,0.17,1.15,ARMED,,,766.89,1h bearish,False,,,10.0,False
HOOD,2026-09-02,106.99,98.97,94.06,True,True,107.46,0.44,7.5,ARMED,101.94,5.14,101.94,,False,10.0,1075.0,81.0,False
V,2026-09-02,378.4,360.65,339.21,True,True,380.17,0.47,4.69,ARMED,373.51,1.75,373.51,,False,7.0,2661.0,78.0,False
ABBV,2026-09-02,261.72,249.91,227.77,True,True,262.97,0.48,4.51,ARMED,255.79,2.73,255.79,,False,7.0,1841.0,29.0,False
NOV.DE,2026-09-02,40.26,38.25,34.86,True,True,40.47,0.52,4.99,ARMED,39.94,1.3,39.94,,False,69.0,2792.0,57.0,False
LYFT,2026-09-02,17.35,16.25,15.77,True,True,17.44,0.52,6.32,ARMED,16.72,4.11,16.72,,False,77.0,1343.0,61.0,False
NTNX,2026-09-02,66.85,60.45,54.37,True,True,67.22,0.55,9.58,ARMED,,,67.86,1h bearish,False,,,18.0,False
AMGN,2026-09-02,442.84,399.2,354.88,True,True,445.57,0.62,9.85,ARMED,433.25,2.77,433.25,,False,4.0,1782.0,24.0,False
DBX,2026-09-02,34.5,32.22,28.75,True,True,34.73,0.67,6.61,ARMED,,,35.17,1h bearish,False,,,42.0,False
MSFT,2026-09-02,496.82,456.28,435.47,True,True,500.27,0.69,8.16,ARMED,,,503.99,1h bearish,False,,,58.0,False
SIX2.DE,2026-09-02,71.75,71.0,69.68,True,True,72.25,0.7,1.05,ARMED,,,72.87,1h bearish,False,,,13.0,False
TOST,2026-09-02,34.04,32.43,31.2,True,True,34.28,0.72,4.72,ARMED,,,34.21,stop too tight,False,,,41.0,False
KO,2026-09-02,88.24,86.12,78.92,True,True,88.95,0.8,2.4,ARMED,,,89.0,1h bearish,False,,,37.0,False
BC8.DE,2026-09-02,35.66,34.38,33.78,True,True,36.02,1.01,3.59,ARMED,,,36.44,1h bearish,False,,,84.0,False
HPE,2026-09-02,51.83,49.89,36.88,True,True,52.48,1.25,3.74,ARMED,,,52.49,1h bearish,False,,,4.0,False
APH,2026-09-02,80.04,79.33,71.6,True,True,81.16,1.4,0.89,ARMED,,,82.59,1h bearish,False,,,34.0,False
SZG.DE,2026-09-02,55.65,53.34,47.18,True,True,56.5,1.53,4.15,ARMED,54.57,3.42,54.57,,False,28.0,1582.0,83.0,False
CERT,2026-09-02,8.28,7.57,7.65,True,True,8.41,1.63,7.58,ARMED,8.05,4.27,8.05,,False,154.0,1295.0,106.0,False
IOS.DE,2026-09-02,33.7,31.76,29.43,True,True,34.26,1.66,5.76,ARMED,,,34.56,1h bearish,False,,,14.0,False
RDNT,2026-09-02,75.7,69.24,65.29,True,True,76.97,1.68,8.53,ARMED,73.96,3.91,73.96,,False,18.0,1385.0,50.0,False
B,2026-09-02,44.13,41.55,39.08,True,True,44.93,1.81,5.85,ARMED,42.83,4.68,42.83,,False,26.0,1168.0,28.0,False
EXLS,2026-09-02,36.91,33.47,33.73,True,True,37.63,1.95,8.6,ARMED,,,37.75,1h bearish,False,,,40.0,False
U,2026-09-02,40.76,37.71,32.23,True,True,41.57,1.99,7.49,ARMED,,,41.89,1h bearish,False,,,51.0,False
22UA.DE,2026-09-02,88.8,84.92,84.63,True,True,90.6,2.03,4.37,ARMED,87.73,3.17,87.73,,False,19.0,1721.0,86.0,False
ASAN,2026-09-02,9.8,8.65,9.15,True,True,10.01,2.09,6.61,ARMED,,,10.22,1h bearish,False,,,56.0,False
PTGX,2026-09-02,146.08,138.94,109.1,True,True,149.42,2.29,4.89,ARMED,143.8,3.76,143.8,,False,9.0,1345.0,45.0,False
DLTR,2026-09-02,131.91,125.5,115.06,True,True,134.99,2.33,4.86,ARMED,129.15,4.33,129.15,,False,9.0,1215.0,39.0,False
SMCI,2026-09-02,37.0,33.56,33.7,True,True,37.88,2.38,8.91,ARMED,,,38.13,1h bearish,False,,,59.0,False
CRM,2026-09-02,256.93,198.71,201.34,True,True,264.55,2.97,21.64,ARMED,252.99,4.37,252.99,,False,4.0,1058.0,96.0,False
CRSP,2026-09-02,56.92,54.28,53.34,True,True,58.96,3.59,4.63,ARMED,58.63,0.56,58.63,,False,47.0,2771.0,38.0,False
ANGO,2026-09-02,15.62,14.63,12.49,True,True,16.22,3.84,6.36,ARMED,16.06,0.98,16.06,,False,173.0,2806.0,11.0,False
PLTR,2026-09-02,169.46,156.61,147.45,True,True,177.57,4.79,7.58,ARMED,176.66,0.51,176.66,,False,15.0,2664.0,94.0,False
GFT.DE,2026-09-02,24.8,22.6,20.42,True,True,26.0,4.84,8.87,ARMED,25.88,0.45,25.88,,False,108.0,2808.0,20.0,False
FTNT,2026-09-02,154.54,154.32,122.09,True,True,162.28,5.01,0.14,ARMED,159.53,1.7,159.53,,False,17.0,2759.0,6.0,False
WIX,2026-09-02,86.69,68.73,81.0,True,True,91.63,5.7,6.56,ARMED,,,92.85,1h bearish,False,,,43.0,False
MBB.DE,2026-09-02,178.8,182.51,182.26,False,True,181.4,1.45,-2.07,DISARMED,,,,,False,,,48.0,False
MU,2026-09-02,956.08,915.59,661.87,True,True,958.0,0.2,4.23,HELD,913.17,4.68,913.17,,False,1.0,958.0,8.0,True
DE,2026-09-02,698.37,615.87,569.58,True,True,700.64,0.33,11.81,HELD,672.39,4.03,672.39,,False,1.0,701.0,25.0,True
DELL,2026-09-02,492.2,426.83,293.85,True,True,497.99,1.18,13.28,HELD,448.53,9.93,448.53,,False,1.0,498.0,2.0,True
NVDA,2026-09-02,224.41,212.51,196.94,True,True,227.95,1.58,5.3,HELD,219.74,3.6,219.74,,False,6.0,1368.0,22.0,True
