ticker,bench,klass,close,ma,stop,trend,rs_diff,rs_rank,strength
DELL,SPY,LONG,421.3537,159.1643,363.2541,up,182.3,100.0,4
AMD,SPY,LONG,523.2,244.4744,454.6619,up,145.34,99.0,2
HPE,SPY,LONG,53.5334,24.7494,47.3121,up,143.99,98.0,6
MU,SPY,LONG,995.8469,356.9505,882.2112,up,135.08,97.0,2
EXTR,SPY,LONG,29.61,18.5136,25.2423,up,95.54,96.0,5
2GB.DE,^GDAXI,LONG,68.2487,38.1916,59.7552,up,88.32,95.0,1
QCOM,SPY,LONG,242.57,162.4472,199.5047,up,67.97,95.0,1
FTNT,SPY,LONG,149.67,86.6059,129.8564,up,65.65,94.0,6
CRNC,SPY,LONG,12.33,10.0282,10.206,up,64.54,93.0,2
RKLB,SPY,LONG,119.95,70.6498,113.8339,up,61.91,92.0,0
CSCO,SPY,LONG,129.5155,79.162,114.2561,up,56.11,91.0,6
IESC,SPY,LONG,742.09,461.7292,607.0008,up,53.4,90.0,5
ORCL,SPY,LONG,235.5206,205.1752,208.9869,up,46.64,89.0,3
SZG.DE,^GDAXI,LONG,66.55,39.8074,57.8481,up,41.58,88.0,8
NOV.DE,^GDAXI,LONG,34.5006,30.3879,32.5013,up,41.52,87.0,0
JBL,SPY,LONG,373.7393,252.3748,337.6798,up,36.77,86.0,2
SMCI,SPY,LONG,46.9,36.0252,40.5386,up,35.42,85.0,4
QUBT,SPY,SHORT,11.19,12.061,12.5322,down,35.13,85.0,0
U,SPY,SHORT,30.03,33.7121,26.4016,up,33.18,84.0,1
NTNX,SPY,LONG,54.97,53.209,47.0909,up,30.19,83.0,4
IOS.DE,^GDAXI,LONG,30.16,28.9641,26.9295,up,25.14,82.0,3
PUM.DE,^GDAXI,LONG,27.64,22.0235,25.8514,up,20.0,81.0,0
ASML.AS,SPY,LONG,1496.1981,1038.1267,1322.5929,up,18.9,80.0,6
GFT.DE,^GDAXI,LONG,22.5881,17.974,20.3538,up,15.15,79.0,1
IBKR,SPY,LONG,87.06,70.6731,79.7133,up,15.12,78.0,1
VRSN,SPY,LONG,292.9301,256.0806,284.3026,up,11.35,77.0,0
AVGO,SPY,SHORT,418.248,353.8991,487.0018,down,10.43,76.0,0
QQQ,SPY,LONG,739.797,619.4815,715.0707,up,9.9,75.0,3
IBM,SPY,LONG,299.6207,266.8644,275.4044,up,9.39,75.0,1
LRN,SPY,LONG,101.99,98.0486,91.876,up,8.45,74.0,0
GOOG,SPY,SHORT,369.0479,302.465,387.5447,down,8.21,73.0,0
HIMS,SPY,SHORT,28.01,34.0552,28.4183,down,7.24,72.0,0
NVDA,SPY,LONG,218.66,188.1962,209.9502,up,6.38,71.0,0
AMZN,SPY,SHORT,253.79,232.0382,273.8771,down,6.31,70.0,0
SIX2.DE,^GDAXI,LONG,69.6227,69.4571,67.2613,up,5.98,69.0,0
DUE.DE,^GDAXI,SHORT,20.7,20.3607,22.1706,down,4.83,68.0,0
HLT,SPY,LONG,337.9961,292.6562,314.9526,up,1.28,67.0,0
HOOD,SPY,SHORT,88.33,103.4183,73.9926,up,0.37,66.0,0
SPY,SPY,LONG,755.1446,679.299,738.2006,up,0.0,65.0,3
ASAN,SPY,SHORT,8.07,10.6496,6.9724,up,-2.31,65.0,0
ANGO,SPY,LONG,12.03,11.2871,10.7521,up,-2.64,64.0,3
KTN.DE,^GDAXI,LONG,23.44,23.2596,21.7731,up,-2.84,63.0,3
WH,SPY,SHORT,79.2584,78.5211,84.4192,down,-3.73,62.0,1
AIR.DE,^GDAXI,SHORT,177.02,186.5007,185.7085,down,-3.74,61.0,0
HAG.DE,^GDAXI,SHORT,78.82,83.5558,76.6952,up,-3.76,60.0,0
CRSP,SPY,LONG,56.95,55.6243,47.4564,up,-4.25,59.0,0
APH,SPY,LONG,146.5489,133.8418,130.2739,up,-4.56,58.0,0
BIDU,SPY,SHORT,134.8,126.4936,146.2011,down,-4.7,57.0,0
LYFT,SPY,SHORT,14.12,17.354,12.8523,up,-5.54,56.0,0
BC8.DE,^GDAXI,SHORT,32.2457,35.4921,29.9279,up,-6.13,55.0,2
PTGX,SPY,SHORT,102.79,85.0141,106.7121,down,-6.19,55.0,0
MSFT,SPY,SHORT,427.2457,454.0296,423.9069,up,-6.38,54.0,0
RBC,SPY,SHORT,589.76,487.2755,614.3977,down,-6.84,53.0,0
TSLA,SPY,LONG,418.45,413.8334,396.1066,up,-7.29,52.0,0
NEM.DE,^GDAXI,SHORT,67.45,83.8785,58.5108,up,-7.83,51.0,2
DBX,SPY,SHORT,27.2,27.265,24.7978,up,-9.08,50.0,0
V,SPY,SHORT,319.5863,328.4086,311.813,up,-10.07,49.0,0
ACHR,SPY,SHORT,6.38,7.9125,5.5361,up,-11.16,48.0,0
HBH.DE,^GDAXI,SHORT,73.982,83.6991,79.4361,down,-11.66,47.0,0
ADN1.DE,^GDAXI,SHORT,60.2,77.485,55.1995,up,-11.71,46.0,0
GE,SPY,LONG,327.2421,301.2138,293.1427,up,-11.76,45.0,1
TIMA.DE,^GDAXI,SHORT,46.0,47.1884,47.5022,down,-11.84,45.0,0
DE,SPY,LONG,590.2202,519.389,541.8873,up,-11.98,44.0,0
ABBV,SPY,LONG,223.3502,215.5767,203.8994,up,-12.2,43.0,4
MLB1.DE,^GDAXI,SHORT,1431.0,1725.9735,1496.3559,down,-12.3,42.0,0
UBER,SPY,SHORT,72.21,83.2885,77.1072,down,-12.31,41.0,0
CSF.DE,^GDAXI,SHORT,228.9,,240.7683,down,-12.62,40.0,0
ST5.DE,^GDAXI,SHORT,19.8381,21.8959,21.7062,down,-12.65,39.0,4
KO,SPY,SHORT,76.3272,72.1007,81.5211,down,-12.79,38.0,0
BWXT,SPY,SHORT,190.4597,194.3938,206.7639,down,-14.47,37.0,1
CRM,SPY,SHORT,188.2641,219.1987,175.0625,up,-15.02,36.0,0
LUV,SPY,LONG,41.1304,38.4232,38.4944,up,-15.22,35.0,0
META,SPY,SHORT,626.9889,661.9183,646.6224,down,-16.08,35.0,0
ESLT,SPY,LONG,836.8582,656.498,772.8745,up,-16.47,34.0,0
