date,ticker,bench,close,ma,stop,rs_diff,rs_rank,strength
2026-06-02,DE,SPY,577.7525,518.3431,512.7763,-14.77,36.0,0
2026-06-05,AMGN,SPY,347.5489,323.1737,325.2145,-16.08,30.0,0
2026-06-10,KO,SPY,83.0538,72.3408,77.2912,-1.31,59.0,0
2026-06-11,PTGX,SPY,109.79,86.1839,92.8402,2.63,68.0,0
2026-06-11,ARQT,SPY,24.59,23.7482,20.7023,-2.05,59.0,0
2026-06-11,LMT,SPY,548.68,530.2448,503.198,-23.49,16.0,0
2026-06-15,RBC,SPY,616.95,494.263,554.3939,-0.64,64.0,0
2026-06-16,WH,SPY,85.36,78.2856,76.0849,-3.04,57.0,0
2026-06-16,RTX,SPY,186.1516,180.3023,170.6458,-21.05,23.0,0
2026-06-17,AIR.DE,^GDAXI,187.02,186.6261,170.8329,6.95,70.0,0
2026-06-18,MU,SPY,1133.8156,400.5603,863.8733,172.2,100.0,0
2026-06-22,NOV.DE,^GDAXI,36.4079,30.492,31.7334,58.88,94.0,0
2026-06-22,BWXT,SPY,209.6695,196.1347,187.0811,-18.96,26.0,0
2026-06-24,DUK,SPY,125.4272,121.3116,118.2126,-17.76,28.0,0
2026-06-25,GMED,SPY,84.65,81.3377,75.7399,-15.13,36.0,0
2026-06-30,AMD,SPY,580.91,274.4916,456.1043,152.93,99.0,0
2026-07-01,TSLA,SPY,425.3,418.6907,371.1288,7.07,66.0,0
2026-07-01,IBM,SPY,284.2112,269.373,247.1974,3.4,60.0,0
2026-07-02,8RMY.DE,^GDAXI,10.104,10.0621,9.1529,-11.46,35.0,0
2026-07-02,CSF.DE,^GDAXI,241.5,241.4538,216.7569,-15.77,24.0,0
2026-07-02,LMT,SPY,545.91,534.8819,492.841,-25.73,10.0,0
2026-07-06,IOS.DE,^GDAXI,29.44,27.8119,26.2643,15.86,76.0,0
2026-07-07,NTNX,SPY,53.76,50.89,47.8525,35.28,92.0,0
2026-07-10,SIX2.DE,^GDAXI,71.4,67.8005,63.8594,-4.57,49.0,0
2026-07-14,SZG.DE,^GDAXI,55.05,43.9704,45.3659,8.43,75.0,0
2026-07-15,AMZN,SPY,254.96,233.7867,230.9895,-4.81,55.0,0
2026-07-16,VRSN,SPY,274.4145,254.7142,252.2013,-6.15,51.0,0
2026-07-22,AIR.DE,^GDAXI,208.3,187.6167,189.5442,20.72,89.0,0
2026-07-23,ESLT,SPY,808.6,705.382,732.5273,-4.7,48.0,0
2026-07-27,8RMY.DE,^GDAXI,9.989,9.8938,9.4008,-3.56,46.0,0
2026-07-28,BC8.DE,^GDAXI,37.08,34.2385,30.7437,24.9,89.0,0
2026-07-28,GFT.DE,^GDAXI,22.65,18.7128,19.3358,15.18,75.0,0
2026-07-28,LRN,SPY,95.88,86.4075,82.758,-4.67,44.0,0
2026-07-31,IESC,SPY,744.54,520.0662,528.2173,9.09,73.0,0
2026-07-31,AMZN,SPY,271.58,235.0122,236.5131,-4.2,46.0,0
2026-07-31,GOOG,SPY,356.65,325.2117,311.4315,-10.61,29.0,0
2026-08-03,MTX.DE,^GDAXI,369.5,343.4832,336.5917,18.26,86.0,0
2026-08-03,APH,SPY,163.34,141.9501,139.6909,14.62,82.0,0
2026-08-04,HPE,SPY,52.39,29.544,42.8328,71.21,99.0,0
2026-08-04,GE,SPY,377.28,315.1707,342.7134,19.12,85.0,0
2026-08-04,RDNT,SPY,69.22,66.4768,57.9918,14.68,79.0,0
2026-08-04,SPY,SPY,771.33,698.4713,736.8239,0.0,52.0,0
2026-08-04,QQQ,SPY,723.85,644.9715,667.0709,-1.43,51.0,0
2026-08-04,AVGO,SPY,418.16,365.4888,357.7956,-4.19,45.0,0
2026-08-05,NVDA,SPY,219.22,193.4121,195.1871,-2.64,46.0,0
2026-08-06,JBL,SPY,344.5956,280.6082,291.1482,-9.84,30.0,0
2026-08-07,RKLB,SPY,82.83,77.9797,61.1231,-34.56,3.0,0
2026-08-10,CSCO,SPY,122.57,90.4255,111.6682,16.36,76.0,0
2026-08-10,GMED,SPY,86.15,84.616,75.2533,9.59,65.0,0
2026-08-17,ASML.AS,SPY,1621.2,1238.9715,1426.3372,9.57,67.0,0
2026-08-17,CRSP,SPY,54.28,53.1787,48.2342,7.29,64.0,0
2026-08-19,MRNA,SPY,174.38,47.5948,102.007,268.56,100.0,0
2026-08-19,ABBV,SPY,265.97,223.2353,244.9289,20.78,80.0,0
2026-08-19,22UA.DE,^GDAXI,95.1,83.917,77.7008,13.78,73.0,0
2026-08-21,HOOD,SPY,108.13,96.0816,85.4002,39.55,90.0,0
2026-08-21,DE,SPY,647.47,556.7505,563.9041,20.33,81.0,0
2026-08-21,NOV.DE,^GDAXI,40.15,31.8385,35.8431,8.98,65.0,0
2026-08-24,MLB1.DE,^GDAXI,1703.2,1602.727,1528.9522,10.54,68.0,0
2026-08-25,IBKR,SPY,98.19,77.8104,85.9934,11.51,71.0,0
2026-08-27,IOS.DE,^GDAXI,35.12,27.3259,31.4954,10.74,71.0,0
2026-08-27,KTN.DE,^GDAXI,22.92,22.5778,20.9931,-7.92,31.0,0
