date,ticker,bench,close,ma,stop,rs_diff,rs_rank,strength
2021-09-01,2GB.DE,^GDAXI,22.4924,21.7347,20.4433,0.5,54.0,0
2021-09-02,NTNX,SPY,40.4,31.9304,36.3722,8.93,74.0,0
2021-09-02,DE,SPY,360.4603,314.5419,332.1163,2.59,57.0,0
2021-09-02,VRSN,SPY,216.5692,206.3459,206.3378,-6.6,34.0,0
2021-09-03,KTN.DE,^GDAXI,18.1963,18.1276,16.642,-0.58,46.0,0
2021-09-16,MCD,SPY,218.0074,200.5895,209.1523,-1.13,50.0,0
2021-09-16,DELL,SPY,46.6867,41.4927,43.3576,-4.04,43.0,0
2021-09-17,SIX2.DE,^GDAXI,98.3267,89.1617,90.4512,0.92,54.0,0
2021-09-24,APH,SPY,37.1054,32.568,35.1867,9.46,72.0,0
2021-09-24,V,SPY,222.9806,214.7601,210.1245,-4.85,38.0,0
2021-09-27,ORCL,SPY,85.1058,70.8258,79.425,11.71,79.0,0
2021-09-27,RBC,SPY,211.5724,190.9304,174.3811,6.1,67.0,0
2021-09-30,ANGO,SPY,25.94,23.2773,22.4172,-3.86,34.0,0
2021-10-01,HPE,SPY,12.7981,12.5504,11.6351,1.99,50.0,0
2021-10-01,IBM,SPY,113.1583,105.2864,106.3794,1.91,49.0,0
2021-10-04,NOC,SPY,338.6992,312.5062,320.7963,0.03,47.0,0
2021-10-08,LHX,SPY,212.0587,189.6709,199.1517,3.58,56.0,0
2021-10-11,JBL,SPY,62.3899,52.5683,57.4669,14.47,87.0,0
2021-10-11,PTGX,SPY,35.36,33.0159,23.8072,-23.93,3.0,0
2021-10-13,XPEV,SPY,39.89,38.4083,33.8447,-3.41,34.0,0
2021-10-14,U,SPY,141.35,114.5958,124.1535,34.67,98.0,0
2021-10-14,AMD,SPY,111.99,90.6024,101.3268,23.1,95.0,0
2021-10-14,MSFT,SPY,290.5574,249.6048,272.6596,5.64,70.0,0
2021-10-14,ST5.DE,^GDAXI,112.0819,89.581,92.8519,4.63,66.0,0
2021-10-14,KGX.DE,^GDAXI,77.123,76.0801,71.3945,-3.7,39.0,0
2021-10-15,GFT.DE,^GDAXI,28.5624,19.1787,25.3712,20.75,94.0,0
2021-10-15,NOV.DE,^GDAXI,17.9824,13.4493,16.8141,20.25,93.0,0
2021-10-15,BC8.DE,^GDAXI,53.7007,51.196,48.3856,3.47,62.0,0
2021-10-18,NEM.DE,^GDAXI,88.7172,64.2813,79.5081,27.83,95.0,0
2021-10-18,FTNT,SPY,65.348,45.6365,59.0107,16.53,89.0,0
2021-10-18,NVDA,SPY,22.1493,16.9904,20.0788,11.67,81.0,0
2021-10-18,GOOG,SPY,141.7111,119.1812,133.1781,1.76,56.0,0
2021-10-18,SPY,SPY,419.2965,388.4031,402.5669,0.0,53.0,0
2021-10-18,QQQ,SPY,362.0538,332.5845,344.0015,-0.65,51.0,0
2021-10-18,AMZN,SPY,172.337,165.7668,161.718,-7.71,26.0,0
2021-10-19,ASAN,SPY,127.65,56.2797,104.1842,69.64,100.0,0
2021-10-19,MLB1.DE,^GDAXI,1383.0,1369.4925,1264.246,6.82,71.0,0
2021-10-19,AVGO,SPY,46.8056,42.779,43.7959,4.1,61.0,0
2021-10-19,VRSN,SPY,211.7467,207.3945,200.4657,-5.81,28.0,0
2021-10-20,APH,SPY,37.5172,33.0346,35.6534,8.14,76.0,0
2021-10-20,DUK,SPY,84.3167,80.4719,80.3662,-6.37,28.0,0
2021-10-21,DBX,SPY,30.54,27.7434,28.0325,-7.23,28.0,0
2021-10-22,ASML.AS,SPY,658.6276,545.5034,589.4606,4.4,69.0,0
2021-10-22,RDNT,SPY,31.54,26.6541,27.9188,-12.66,18.0,0
2021-10-25,CERT,SPY,39.71,30.7855,33.9817,41.72,97.0,0
2021-10-25,DE,SPY,331.2634,329.0279,302.348,-6.38,33.0,0
2021-10-26,GE,SPY,65.4055,62.7146,60.9021,2.35,70.0,0
2021-10-26,22UA.DE,^GDAXI,251.992,178.5733,210.1631,-12.61,19.0,0
2021-10-27,HBH.DE,^GDAXI,94.5479,75.8537,86.7398,17.35,88.0,0
2021-10-27,PUM.DE,^GDAXI,98.7476,88.1948,91.4483,-2.48,48.0,0
2021-10-27,KO,SPY,48.2479,46.1143,46.6286,-4.95,41.0,0
2021-10-27,SZG.DE,^GDAXI,28.3844,24.9681,25.2498,-6.41,35.0,0
2021-10-29,ADN1.DE,^GDAXI,185.4132,135.0416,158.9142,16.49,88.0,0
2021-10-29,ABBV,SPY,96.6016,91.7449,90.3304,-3.48,47.0,0
2021-11-01,LRN,SPY,37.7,30.5408,32.0354,21.24,89.0,0
2021-11-01,MCD,SPY,224.6136,205.6477,212.0751,2.34,69.0,0
2021-11-01,DUE.DE,^GDAXI,34.355,31.58,32.1849,-4.97,37.0,0
2021-11-02,CSCO,SPY,50.441,45.6465,47.4704,-0.23,57.0,0
2021-11-02,MBB.DE,^GDAXI,129.7478,124.0093,120.9185,-1.31,53.0,0
2021-11-02,EXTR,SPY,11.37,10.1283,9.7321,-3.11,49.0,0
2021-11-03,SMCI,SPY,4.187,3.5987,3.7701,3.24,68.0,0
2021-11-04,NEM.DE,^GDAXI,106.1316,66.8869,91.3141,37.03,93.0,0
2021-11-04,RKLB,SPY,15.74,11.5586,12.9543,35.24,92.0,0
2021-11-04,STO3.DE,^GDAXI,177.6936,151.9182,164.2819,-5.38,41.0,0
2021-11-05,APH,SPY,38.9968,33.3719,36.5525,4.8,68.0,0
2021-11-05,MTX.DE,^GDAXI,192.9715,190.9128,169.2071,-2.03,44.0,0
2021-11-08,AIR.DE,^GDAXI,106.0481,97.4528,97.3982,0.1,48.0,0
2021-11-08,NEGG,SPY,376.4,276.572,221.3329,-2.99,38.0,0
2021-11-15,META,SPY,344.5345,322.0868,316.2956,-9.05,19.0,0
2021-11-19,22UA.DE,^GDAXI,248.64,190.4702,196.7654,-20.22,11.0,0
2021-11-26,MRNA,SPY,329.63,258.3282,260.6313,-17.38,16.0,0
2021-12-02,DUE.DE,^GDAXI,33.6085,31.9707,29.9806,-8.4,36.0,0
2021-12-06,CSCO,SPY,49.8632,46.7378,46.2346,-4.27,55.0,0
2021-12-07,GFT.DE,^GDAXI,39.3649,23.4482,32.3052,41.81,99.0,0
2021-12-07,AVGO,SPY,54.1429,44.2914,49.4496,14.0,85.0,0
2021-12-07,MCD,SPY,234.2684,210.5721,220.6635,3.15,70.0,0
2021-12-07,ESLT,SPY,150.2853,133.961,140.661,0.04,66.0,0
2021-12-08,HBH.DE,^GDAXI,107.8949,80.674,95.0429,19.45,89.0,0
2021-12-08,HPE,SPY,13.6384,13.0885,12.4159,7.26,76.0,0
2021-12-09,NOC,SPY,342.2144,329.1933,320.1543,-0.6,63.0,0
2021-12-10,NOV.DE,^GDAXI,20.5449,15.2858,19.1992,16.34,85.0,0
2021-12-10,ORCL,SPY,96.2741,78.6994,86.7627,12.43,83.0,0
2021-12-10,JBL,SPY,64.5092,56.4698,58.1045,-1.59,61.0,0
2021-12-10,KO,SPY,49.2876,47.0894,46.2532,-3.14,57.0,0
2021-12-13,DUK,SPY,85.8138,82.4522,80.8078,-1.31,59.0,0
2021-12-15,EVTL,SPY,106.8,98.8042,90.1034,-1.19,54.0,0
2021-12-15,META,SPY,338.6858,328.8942,301.1913,-12.95,33.0,0
2021-12-16,SZG.DE,^GDAXI,27.9978,26.0129,24.9065,6.56,79.0,0
2021-12-22,FTNT,SPY,69.632,53.5828,58.4384,12.73,83.0,0
2021-12-22,HLT,SPY,150.6389,128.6432,133.7613,3.65,68.0,0
2021-12-22,WH,SPY,79.8461,68.8239,71.2181,2.3,61.0,0
2021-12-23,ANGO,SPY,28.21,25.9077,24.4697,12.06,81.0,0
2021-12-23,MBB.DE,^GDAXI,123.9771,123.2961,110.7006,-2.34,53.0,0
2021-12-23,AIR.DE,^GDAXI,102.5988,99.3352,92.4296,-5.93,46.0,0
2021-12-27,TSLA,SPY,364.6467,258.0725,305.9015,29.46,93.0,0
2021-12-27,APH,SPY,41.7268,34.9638,38.8661,7.39,76.0,0
2021-12-27,SPY,SPY,449.063,407.1828,427.8949,0.0,56.0,0
