ticker,session,close,ema_fast,ema_slow,armed,was_armed,trigger,to_trigger_pct,to_disarm_pct,state,stop,risk_pct,st_line,note,stale,shares,cost,rank
CBK.DE,2026-09-02,40.68,38.59,35.01,True,True,40.71,0.07,5.15,ARMED,40.17,1.34,40.17,,False,69.0,2809.0,68.0
SHOP,2026-09-02,141.87,136.1,128.73,True,True,142.05,0.13,4.07,ARMED,,,143.89,1h bearish,False,,,81.0
ABNB,2026-09-02,183.26,165.85,144.35,True,True,183.56,0.16,9.5,ARMED,,,186.03,1h bearish,False,,,105.0
MELI,2026-09-02,2006.58,1853.5,1879.27,True,True,2009.99,0.17,6.34,ARMED,1955.18,2.73,1955.18,,False,1.0,2010.0,115.0
SHL.DE,2026-09-02,39.46,37.78,38.79,True,True,39.53,0.18,1.7,ARMED,,,39.56,1h bearish,False,,,107.0
MU,2026-09-02,956.08,915.59,661.87,True,True,958.0,0.2,4.23,ARMED,913.17,4.68,913.17,,False,1.0,958.0,7.0
REGN,2026-09-02,852.03,753.16,710.54,True,True,854.49,0.29,11.6,ARMED,837.36,2.01,837.36,,False,3.0,2563.0,86.0
VRTX,2026-09-02,556.75,507.88,470.24,True,True,558.36,0.29,8.78,ARMED,547.21,2.0,547.21,,False,5.0,2792.0,89.0
HNR1.DE,2026-09-02,260.2,250.78,245.56,True,True,261.0,0.31,3.62,ARMED,258.16,1.09,258.16,,False,10.0,2610.0,49.0
MRK.DE,2026-09-02,140.0,138.36,127.9,True,True,140.65,0.46,1.17,ARMED,,,141.29,1h bearish,False,,,108.0
FRE.DE,2026-09-02,44.71,44.34,43.16,True,True,44.91,0.46,0.82,ARMED,,,45.22,1h bearish,False,,,5.0
BAYN.DE,2026-09-02,49.18,47.11,40.88,True,True,49.41,0.47,4.2,ARMED,,,49.49,1h bearish,False,,,78.0
BKNG,2026-09-02,199.6,195.43,187.76,True,True,200.62,0.51,2.09,ARMED,,,200.59,stop too tight,False,,,66.0
CCEP,2026-09-02,107.78,105.68,98.05,True,True,108.39,0.57,1.95,ARMED,,,108.76,1h bearish,False,,,37.0
DASH,2026-09-02,226.24,205.12,193.39,True,True,227.58,0.59,9.33,ARMED,,,231.84,1h bearish,False,,,56.0
AMGN,2026-09-02,442.84,399.2,354.88,True,True,445.57,0.62,9.85,ARMED,433.25,2.77,433.25,,False,4.0,1782.0,45.0
ADP,2026-09-02,281.16,262.13,245.45,True,True,283.0,0.65,6.77,ARMED,,,285.52,1h bearish,False,,,87.0
MSFT,2026-09-02,496.82,456.28,435.47,True,True,500.27,0.69,8.16,ARMED,,,503.99,1h bearish,False,,,103.0
KHC,2026-09-02,26.26,25.14,24.26,True,True,26.44,0.69,4.27,ARMED,25.74,2.66,25.74,,False,79.0,2089.0,101.0
FANG,2026-09-02,203.42,197.13,181.37,True,True,204.85,0.7,3.09,ARMED,200.38,2.18,200.38,,False,12.0,2458.0,79.0
PAYX,2026-09-02,124.0,115.98,108.24,True,True,125.03,0.83,6.47,ARMED,,,126.12,1h bearish,False,,,53.0
DTE.DE,2026-09-02,28.45,27.95,28.2,True,True,28.7,0.88,0.88,ARMED,28.26,1.52,28.26,,False,98.0,2813.0,64.0
BAS.DE,2026-09-02,53.38,50.68,48.11,True,True,53.85,0.88,5.05,ARMED,52.66,2.21,52.66,,False,46.0,2477.0,121.0
MUV2.DE,2026-09-02,523.2,510.02,504.84,True,True,527.8,0.88,2.52,ARMED,518.02,1.85,518.02,,False,5.0,2639.0,21.0
TRI,2026-09-02,105.87,98.47,105.08,True,True,106.84,0.92,0.75,ARMED,103.71,2.93,103.71,,False,17.0,1816.0,100.0
HEN3.DE,2026-09-02,75.3,74.76,71.22,True,True,76.04,0.98,0.72,ARMED,,,76.02,stop too tight,False,,,76.0
BKR,2026-09-02,64.63,61.43,57.55,True,True,65.27,0.99,4.95,ARMED,63.01,3.46,63.01,,False,24.0,1566.0,52.0
AAPL,2026-09-02,324.96,311.42,285.35,True,True,328.4,1.06,4.17,ARMED,318.82,2.92,318.82,,False,5.0,1642.0,35.0
ALV.DE,2026-09-02,449.2,429.61,387.48,True,True,454.2,1.11,4.36,ARMED,447.88,1.39,447.88,,False,6.0,2725.0,15.0
SBUX,2026-09-02,106.72,104.75,98.19,True,True,107.9,1.11,1.84,ARMED,105.63,2.1,105.63,,False,24.0,2590.0,129.0
CTAS,2026-09-02,198.09,196.5,189.35,True,True,200.61,1.27,0.8,ARMED,,,201.38,1h bearish,False,,,57.0
WBD,2026-09-02,28.39,27.42,25.45,True,True,28.77,1.34,3.42,ARMED,28.57,0.7,28.57,,False,97.0,2791.0,36.0
DBK.DE,2026-09-02,34.88,32.14,29.35,True,True,35.38,1.43,7.86,ARMED,34.17,3.43,34.17,,False,46.0,1627.0,23.0
