ticker,session,close,ema_fast,ema_slow,armed,was_armed,trigger,to_trigger_pct,to_disarm_pct,state,stop,risk_pct,st_line,note,stale,shares,cost,rank,held
CRWD,2026-09-03,214.97,197.06,155.14,True,True,215.1,0.06,8.33,ARMED,206.47,4.01,206.47,,False,6.0,1291.0,70.0,False
CTAS,2026-09-03,201.05,196.98,190.36,True,True,201.26,0.1,2.03,ARMED,,,201.38,1h bearish,False,,,57.0,False
CCEP,2026-09-03,109.15,105.86,98.84,True,True,109.28,0.12,3.02,ARMED,107.9,1.27,107.9,,False,25.0,2732.0,37.0,False
HEN3.DE,2026-09-03,75.6,74.83,72.26,True,True,75.71,0.15,1.02,ARMED,,,76.02,1h bearish,False,,,76.0,False
ALV.DE,2026-09-03,453.1,431.21,395.5,True,True,454.6,0.33,4.83,ARMED,447.88,1.48,447.88,,False,6.0,2728.0,15.0,False
SHOP,2026-09-03,145.88,136.48,128.9,True,True,146.37,0.34,6.44,ARMED,141.45,3.36,141.45,,False,11.0,1610.0,81.0,False
WBD,2026-09-03,28.37,27.46,25.48,True,True,28.47,0.35,3.22,ARMED,,,28.57,1h bearish,False,,,36.0,False
AMGN,2026-09-03,444.12,402.59,359.94,True,True,445.82,0.38,9.35,ARMED,437.88,1.78,437.88,,False,6.0,2675.0,45.0,False
VRTX,2026-09-03,557.96,509.84,471.11,True,True,560.25,0.41,8.62,ARMED,549.95,1.84,549.95,,False,5.0,2801.0,89.0,False
BAS.DE,2026-09-03,53.73,50.88,49.06,True,True,53.98,0.47,5.3,ARMED,52.81,2.16,52.81,,False,47.0,2537.0,121.0,False
MUV2.DE,2026-09-03,529.4,511.4,515.69,True,True,532.0,0.49,2.59,ARMED,522.44,1.8,522.44,,False,5.0,2660.0,21.0,False
G1A.DE,2026-09-03,64.2,63.44,60.73,True,True,64.56,0.56,1.18,ARMED,,,65.22,1h bearish,False,,,16.0,False
CBK.DE,2026-09-03,41.58,38.75,35.54,True,True,41.84,0.64,6.79,ARMED,40.8,2.48,40.8,,False,53.0,2218.0,68.0,False
FANG,2026-09-03,202.94,197.96,183.41,True,True,204.25,0.65,2.45,ARMED,200.38,1.89,200.38,,False,13.0,2655.0,79.0,False
AAPL,2026-09-03,328.21,312.22,286.2,True,True,330.81,0.79,4.87,ARMED,322.68,2.46,322.68,,False,6.0,1985.0,35.0,False
BNR.DE,2026-09-03,61.44,60.18,57.0,True,True,61.95,0.83,2.06,ARMED,,,62.22,1h bearish,False,,,80.0,False
NVDA,2026-09-03,228.45,213.15,197.37,True,True,230.4,0.85,6.7,ARMED,223.7,2.91,223.7,,False,8.0,1843.0,29.0,False
KDP,2026-09-03,32.88,31.13,29.97,True,True,33.17,0.88,5.31,ARMED,32.43,2.22,32.43,,False,75.0,2488.0,106.0,False
SAP.DE,2026-09-03,185.68,168.16,172.29,True,True,187.56,1.01,7.21,ARMED,181.14,3.42,181.14,,False,8.0,1500.0,27.0,False
SY1.DE,2026-09-03,91.31,88.73,82.73,True,True,92.27,1.05,2.83,ARMED,,,92.79,1h bearish,False,,,96.0,False
MSFT,2026-09-03,510.12,458.98,437.9,True,True,515.65,1.08,10.03,ARMED,501.02,2.84,501.02,,False,3.0,1547.0,103.0,False
PAYX,2026-09-03,125.08,116.74,110.43,True,True,126.45,1.1,6.67,ARMED,,,126.12,stop too tight,False,,,53.0,False
ABNB,2026-09-03,185.25,166.61,144.76,True,True,187.36,1.14,10.06,ARMED,181.71,3.01,181.71,,False,9.0,1686.0,105.0,False
RWE.DE,2026-09-03,57.92,57.35,53.21,True,True,58.6,1.17,0.98,ARMED,,,58.86,1h bearish,False,,,67.0,False
DXCM,2026-09-03,89.71,82.78,74.4,True,True,91.0,1.44,7.72,ARMED,,,90.85,stop too tight,False,,,130.0,False
ADP,2026-09-03,283.53,263.14,248.04,True,True,287.63,1.45,7.19,ARMED,285.43,0.76,285.43,,False,9.0,2589.0,87.0,False
BAYN.DE,2026-09-03,49.44,47.21,41.0,True,True,50.16,1.46,4.5,ARMED,48.43,3.46,48.43,,False,32.0,1605.0,78.0,False
FTNT,2026-09-03,156.36,154.4,122.43,True,True,158.69,1.49,1.26,ARMED,,,159.26,1h bearish,False,,,65.0,False
SBUX,2026-09-03,105.82,105.15,99.31,True,True,107.57,1.65,0.63,ARMED,,,107.86,1h bearish,False,,,129.0,False
FRE.DE,2026-09-03,44.46,44.45,43.8,True,True,45.2,1.66,0.02,ARMED,,,45.22,1h bearish,False,,,5.0,False
ROP,2026-09-03,422.35,388.64,392.32,True,True,429.6,1.72,7.11,ARMED,415.36,3.31,415.36,,False,3.0,1289.0,104.0,False
PLTR,2026-09-03,182.53,157.63,147.8,True,True,185.83,1.81,13.64,ARMED,176.09,5.24,176.09,,False,5.0,929.0,46.0,False
REGN,2026-09-03,843.47,757.25,713.54,True,True,859.34,1.88,10.22,ARMED,837.36,2.56,837.36,,False,2.0,1719.0,86.0,False
QIA.DE,2026-09-03,37.5,36.24,36.75,True,True,38.32,2.18,1.99,ARMED,37.24,2.82,37.24,,False,51.0,1954.0,134.0,False
WDAY,2026-09-03,206.92,172.08,167.15,True,True,211.83,2.37,16.84,ARMED,197.9,6.57,197.9,,False,4.0,847.0,120.0,False
ADBE,2026-09-03,285.75,257.75,272.99,True,True,292.88,2.5,4.47,ARMED,278.85,4.79,278.85,,False,3.0,879.0,113.0,False
KHC,2026-09-03,25.42,25.19,24.75,True,True,26.1,2.68,0.92,ARMED,25.94,0.62,25.94,,False,107.0,2793.0,101.0,False
LITE,2026-09-03,847.37,845.75,685.12,True,True,874.0,3.14,0.19,ARMED,,,887.13,1h bearish,False,,,1.0,False
MELI,2026-09-03,1991.06,1858.89,1880.39,True,True,2066.0,3.76,5.56,ARMED,1983.26,4.0,1983.26,risk budget < 1 share,False,,,115.0,False
DASH,2026-09-03,222.0,205.79,193.68,True,True,232.0,4.5,7.3,ARMED,228.14,1.67,228.14,,False,12.0,2784.0,56.0,False
MDLZ,2026-09-03,61.45,61.95,60.74,False,True,62.3,1.38,-0.81,DISARMED,,,,,False,,,133.0,False
MRK.DE,2026-09-03,138.3,138.4,129.02,False,True,140.76,1.78,-0.07,DISARMED,,,,,False,,,108.0,False
SHL.DE,2026-09-03,38.89,37.85,39.07,False,True,39.72,2.13,-0.47,DISARMED,,,,,False,,,107.0,False
CEG,2026-09-03,285.05,272.46,286.67,False,True,296.62,4.06,-0.57,DISARMED,,,,,False,,,51.0,False
BKNG,2026-09-03,195.13,195.46,188.33,False,True,203.26,4.17,-0.17,DISARMED,,,,,False,,,66.0,False
DBK.DE,2026-09-03,35.59,32.33,29.92,True,True,35.59,0.01,9.15,HELD,34.69,2.53,34.69,,False,61.0,2171.0,23.0,True
HNR1.DE,2026-09-03,263.2,251.64,251.26,True,True,263.5,0.11,4.39,HELD,259.39,1.56,259.39,,False,10.0,2635.0,49.0,True
MU,2026-09-03,958.16,917.29,664.94,True,True,959.76,0.17,4.27,HELD,913.17,4.85,913.17,,False,1.0,960.0,7.0,True
GILD,2026-09-03,151.22,138.61,131.79,True,True,151.48,0.17,8.34,HELD,148.8,1.77,148.8,,False,18.0,2727.0,24.0,True
DB1.DE,2026-09-03,283.7,269.8,251.16,True,True,285.6,0.67,4.9,HELD,278.44,2.51,278.44,,False,7.0,1999.0,12.0,True
BKR,2026-09-03,63.64,61.62,57.95,True,True,64.95,2.06,3.17,HELD,63.06,2.91,63.06,,False,29.0,1884.0,52.0,True
CON.DE,2026-09-03,70.11,70.04,67.18,True,False,70.12,0.01,0.1,NEW ARM,,,71.31,1h bearish,False,,,93.0,False
DTG.DE,2026-09-03,45.58,45.25,42.4,True,False,45.61,0.07,0.72,NEW ARM,,,45.65,1h bearish,False,,,60.0,False
FAST,2026-09-03,49.23,48.85,46.1,True,False,49.29,0.12,0.78,NEW ARM,48.33,1.95,48.33,,False,57.0,2810.0,95.0,False
AMZN,2026-09-03,258.9,256.16,242.06,True,False,259.5,0.23,1.06,NEW ARM,254.7,1.85,254.7,,False,10.0,2595.0,84.0,False
PYPL,2026-09-03,56.82,55.22,53.8,True,False,56.96,0.25,2.82,NEW ARM,54.93,3.56,54.93,,False,27.0,1538.0,114.0,False
TRI,2026-09-03,111.76,99.51,108.27,True,False,112.77,0.9,3.12,NEW ARM,106.7,5.38,106.7,,False,9.0,1015.0,100.0,False
DTE.DE,2026-09-03,28.83,28.01,28.55,True,False,29.1,0.94,0.96,NEW ARM,28.28,2.81,28.28,,False,68.0,1979.0,64.0,False
ENR.DE,2026-09-03,145.72,153.1,145.15,False,False,145.72,0.0,-5.06,flat,,,,,False,,,18.0,False
LRCX,2026-09-03,292.66,314.16,264.82,False,False,292.78,0.04,-7.35,flat,,,,,False,,,9.0,False
VNA.DE,2026-09-03,19.19,20.55,22.75,False,False,19.2,0.05,-18.55,flat,,,,,False,,,98.0,False
MSTR,2026-09-03,144.82,113.27,153.91,False,False,144.92,0.07,-6.28,flat,,,,,False,,,43.0,False
KLAC,2026-09-03,172.94,196.33,174.05,False,False,173.09,0.09,-13.52,flat,,,,,False,,,28.0,False
PCAR,2026-09-03,124.51,126.67,119.05,False,False,124.64,0.1,-1.73,flat,,,,,False,,,91.0,False
ALAB,2026-09-03,282.82,309.33,248.21,False,False,283.17,0.12,-9.37,flat,,,,,False,,,,False
EXC,2026-09-03,44.53,45.36,45.68,False,False,44.59,0.13,-2.58,flat,,,,,False,,,109.0,False
DHL.DE,2026-09-03,55.13,55.21,50.18,False,False,55.22,0.16,-0.14,flat,,,,,False,,,22.0,False
MBG.DE,2026-09-03,47.12,46.37,50.27,False,False,47.21,0.21,-6.7,flat,,,,,False,,,127.0,False
ADI,2026-09-03,356.5,377.57,348.9,False,False,357.27,0.22,-5.91,flat,,,,,False,,,54.0,False
AXON,2026-09-03,538.15,555.07,532.41,False,False,539.41,0.23,-3.14,flat,,,,,False,,,77.0,False
MCHP,2026-09-03,73.11,79.47,78.13,False,False,73.29,0.25,-8.7,flat,,,,,False,,,102.0,False
BMW.DE,2026-09-03,61.78,61.09,71.77,False,False,61.95,0.28,-16.17,flat,,,,,False,,,110.0,False
AMAT,2026-09-03,435.91,505.27,421.61,False,False,437.15,0.28,-15.91,flat,,,,,False,,,4.0,False
TXN,2026-09-03,253.83,274.94,249.74,False,False,254.57,0.29,-8.32,flat,,,,,False,,,41.0,False
MTX.DE,2026-09-03,343.0,354.15,345.52,False,False,344.2,0.35,-3.25,flat,,,,,False,,,61.0,False
ROST,2026-09-03,231.67,235.29,212.66,False,False,232.53,0.37,-1.56,flat,,,,,False,,,14.0,False
XEL,2026-09-03,76.34,78.26,78.04,False,False,76.63,0.38,-2.51,flat,,,,,False,,,126.0,False
PANW,2026-09-03,331.94,338.95,260.69,False,False,333.31,0.41,-2.11,flat,,,,,False,,,34.0,False
PAH3.DE,2026-09-03,28.01,28.45,31.55,False,False,28.13,0.43,-12.65,flat,,,,,False,,,122.0,False
